iter	Passed	Remaining
0	165	165043
1	175	87589
2	187	62218
3	197	49258
4	205	40974
5	212	35209
6	218	30988
7	224	27831
8	235	25920
9	243	24117
10	251	22587
11	258	21273
12	265	20134
13	271	19136
14	277	18236
15	283	17450
16	289	16726
17	295	16109
18	301	15575
19	307	15058
20	313	14617
21	319	14214
22	325	13836
23	332	13508
24	338	13198
25	345	12946
26	351	12684
27	360	12498
28	369	12372
29	378	12225
30	384	12032
31	393	11906
32	404	11839
33	409	11628
34	415	11445
35	420	11267
36	426	11102
37	432	10940
38	437	10781
39	443	10642
40	449	10507
41	454	10363
42	460	10242
43	465	10115
44	470	9993
45	476	9882
46	481	9768
47	489	9717
48	497	9651
49	503	9575
50	509	9485
51	515	9390
52	521	9321
53	527	9234
54	532	9148
55	537	9067
56	543	8983
57	548	8907
58	553	8829
59	558	8755
60	565	8698
61	571	8643
62	577	8591
63	584	8547
64	590	8496
65	598	8466
66	606	8449
67	612	8389
68	619	8365
69	626	8325
70	633	8284
71	638	8227
72	643	8173
73	648	8120
74	654	8070
75	659	8021
76	664	7970
77	670	7925
78	675	7875
79	680	7830
80	686	7784
81	691	7741
82	697	7710
83	704	7681
84	710	7647
85	716	7617
86	724	7599
87	730	7569
88	741	7594
89	756	7647
90	766	7657
91	777	7672
92	789	7703
93	800	7717
94	808	7698
95	817	7701
96	827	7707
97	837	7711
98	843	7672
99	851	7666
100	857	7630
101	863	7599
102	868	7563
103	875	7542
104	883	7531
105	888	7497
106	895	7473
107	900	7440
108	906	7407
109	911	7376
110	916	7343
111	922	7313
112	927	7281
113	936	7277
114	941	7249
115	947	7220
116	952	7191
117	958	7164
118	964	7137
119	969	7110
120	975	7084
121	980	7059
122	986	7032
123	991	7005
124	997	6983
125	1003	6960
126	1009	6939
127	1017	6928
128	1027	6935
129	1033	6916
130	1039	6892
131	1045	6875
132	1051	6852
133	1056	6830
134	1061	6803
135	1067	6779
136	1072	6757
137	1077	6733
138	1083	6711
139	1089	6690
140	1094	6670
141	1100	6651
142	1106	6630
143	1111	6608
144	1116	6586
145	1122	6564
146	1127	6542
147	1132	6522
148	1138	6500
149	1143	6478
150	1148	6457
151	1157	6455
152	1163	6443
153	1171	6433
154	1177	6420
155	1183	6405
156	1190	6393
157	1197	6380
158	1203	6366
159	1211	6361
160	1218	6351
161	1226	6346
162	1235	6342
163	1241	6328
164	1248	6316
165	1254	6302
166	1263	6304
167	1270	6293
168	1278	6284
169	1284	6270
170	1290	6254
171	1295	6237
172	1301	6219
173	1306	6201
174	1311	6184
175	1317	6169
176	1323	6155
177	1329	6140
178	1335	6123
179	1340	6108
180	1346	6091
181	1351	6072
182	1356	6056
183	1362	6040
184	1367	6024
185	1373	6009
186	1378	5992
187	1383	5975
188	1388	5959
189	1394	5943
190	1399	5925
191	1405	5916
192	1414	5913
193	1420	5903
194	1428	5897
195	1434	5884
196	1440	5873
197	1446	5859
198	1452	5846
199	1458	5832
200	1464	5820
201	1470	5807
202	1475	5792
203	1481	5779
204	1486	5763
205	1491	5749
206	1497	5734
207	1502	5719
208	1507	5706
209	1513	5691
210	1521	5689
211	1527	5678
212	1534	5669
213	1540	5656
